,numero_empleado,desvinculado,genero,edad,año_nacimiento,estado_civil,nivel_estudios,campo_estudios,frecuencia_viaje,distancia_domicilio,teletrabajo,tipo_jornada,formaciones_ultimo_año,trabajos_anteriores,años_en_activo,antigüedad_empresa,años_ultimo_ascenso,años_mismo_responsable,departamento,categoria,puesto,horas_extras,evaluacion_desempeño,tarifa_hora,tarifa_diaria,tarifa_mensual,ingreso_mensual,%_incremento_salarial,acceso_acciones_empresa,nivel_compromiso,nivel_satisfaccion_global,nivel_satisfaccion_trabajo,nivel_satisfaccion_relaciones,nivel_satisfaccion_conciliacion
0,162,No,male,51,1972,ns/nc,3,ns/nc,non travel,9,yes,full time,5,7,11,20,15,15,sin asignar,5,research director,No,3,51.0,684.0,6462.0,19537.0,13,0,3,1,3,3,3
1,259,No,male,52,1971,ns/nc,4,Life Sciences,non travel,1,yes,full time,5,0,34,33,11,9,sin asignar,5,manager,No,3,65.0,699.0,5678.0,19999.0,14,1,2,3,3,1,3
2,319,No,male,42,1981,married,2,Technical Degree,travel rarely,6,yes,full time,3,1,22,22,11,15,research & development,5,manager,No,3,58.0,532.0,4933.0,19232.0,11,0,3,3,4,4,3
3,0,No,female,47,1976,married,4,Medical,travel rarely,3,no,full time,2,3,11,20,5,6,sin asignar,4,research director,No,3,82.0,359.0,26703.0,17169.0,19,2,3,1,3,2,3
4,0,No,female,46,1977,divorced,3,Technical Degree,non travel,4,no,full time,5,2,11,19,2,8,sin asignar,4,sales executive,No,3,45.0,1319.0,7739.0,4859.0,12,1,4,1,1,4,3
5,1900,No,female,48,1975,ns/nc,3,Medical,non travel,35,yes,full time,3,3,11,22,4,7,research & development,4,manager,No,3,58.0,117.0,2437.0,17174.0,11,1,3,4,4,2,3
6,81,No,female,59,1964,ns/nc,3,Life Sciences,non travel,40,yes,full time,3,7,28,21,7,9,sin asignar,3,sales executive,No,3,99.0,1435.0,2354.0,4859.0,11,0,3,1,1,4,2
7,387,No,male,42,1981,married,1,ns/nc,travel rarely,1,no,full time,3,1,20,20,11,6,sin asignar,2,sales executive,No,4,99.0,635.0,24532.0,4859.0,25,0,3,2,3,3,3
8,0,No,female,41,1982,married,5,ns/nc,non travel,3,yes,full time,2,7,22,18,11,8,sin asignar,4,manager,No,3,91.0,1276.0,5626.0,16595.0,16,1,3,2,1,2,3
9,999,No,male,41,1982,ns/nc,3,ns/nc,travel frequently,14,no,full time,2,2,21,18,0,11,sin asignar,5,research director,No,3,64.0,840.0,3735.0,4859.0,17,1,3,1,3,2,4
10,1035,No,female,41,1982,ns/nc,1,ns/nc,non travel,11,no,full time,3,1,11,21,5,10,sin asignar,5,research director,No,4,55.0,247.0,20284.0,19973.0,22,2,1,2,3,2,3
11,0,No,male,56,1967,married,3,Life Sciences,travel rarely,37,no,full time,0,4,33,19,15,9,sin asignar,4,manufacturing director,Yes,3,68.0,1369.0,18235.0,13402.0,12,1,3,4,2,1,3
12,0,No,female,38,1985,married,3,Medical,non travel,16,yes,full time,3,3,11,18,1,11,sin asignar,3,research director,No,3,99.0,201.0,3376.0,13206.0,12,1,1,2,3,1,3
13,58,Yes,female,41,1982,married,3,ns/nc,travel rarely,19,no,full time,0,1,11,22,15,8,sin asignar,5,research director,No,3,49.0,1360.0,16280.0,19545.0,12,0,3,2,3,4,3
14,0,No,male,55,1968,single,4,Medical,non travel,22,yes,full time,3,8,11,24,2,15,sin asignar,5,research director,No,3,61.0,692.0,13339.0,4859.0,11,0,4,3,2,4,3
15,558,No,female,40,1983,ns/nc,4,ns/nc,travel rarely,3,no,full time,2,0,11,20,1,12,sin asignar,5,manager,No,3,79.0,1398.0,13022.0,18041.0,14,0,3,3,3,4,3
16,825,Yes,male,58,1965,single,4,ns/nc,travel rarely,3,no,full time,2,7,40,31,13,8,sin asignar,5,research director,Yes,3,31.0,286.0,25761.0,19246.0,12,0,3,4,2,4,3
17,0,No,female,46,1977,ns/nc,3,ns/nc,travel rarely,3,no,full time,2,8,28,26,15,9,sin asignar,4,manager,No,4,69.0,1402.0,24097.0,4859.0,23,0,3,3,1,1,3
18,0,No,male,35,1988,married,5,Life Sciences,non travel,20,no,full time,2,1,11,16,1,10,sin asignar,2,research scientist,No,3,48.0,819.0,26312.0,4859.0,11,0,4,2,1,4,3
19,0,No,female,40,1983,ns/nc,3,Life Sciences,travel rarely,24,yes,full time,2,1,18,18,14,12,sin asignar,3,manufacturing director,No,3,80.0,884.0,25800.0,4859.0,13,2,2,1,3,4,3
20,1712,No,male,45,1978,ns/nc,1,ns/nc,non travel,1,no,full time,3,3,25,23,14,4,research & development,3,healthcare representative,No,4,74.0,1238.0,3395.0,10748.0,23,1,2,3,3,4,2
21,73,No,female,33,1990,single,2,Life Sciences,non travel,1,yes,full time,1,1,15,15,8,12,sin asignar,3,research director,Yes,3,98.0,515.0,15146.0,4859.0,12,0,3,1,4,3,3
22,0,No,female,36,1987,divorced,3,ns/nc,non travel,12,yes,full time,2,1,17,17,12,8,sin asignar,3,healthcare representative,No,3,59.0,1223.0,8202.0,4859.0,13,3,3,3,3,2,3
23,820,No,female,47,1976,married,2,Other,non travel,3,no,part time,3,1,11,26,3,0,sin asignar,4,manager,No,3,33.0,202.0,12982.0,16752.0,11,1,3,3,4,3,2
24,0,No,male,36,1987,ns/nc,2,Life Sciences,travel rarely,67,yes,full time,1,1,18,18,4,11,sin asignar,2,sales executive,No,3,56.0,928.0,2823.0,6201.0,14,1,3,4,4,4,3
25,0,No,female,35,1988,married,3,Life Sciences,non travel,14,no,part time,2,1,17,17,5,15,sin asignar,3,manufacturing director,Yes,4,66.0,607.0,23457.0,4859.0,20,1,2,4,3,2,3
26,0,Yes,female,52,1971,married,1,ns/nc,non travel,3,yes,full time,3,1,33,32,6,9,sin asignar,5,manager,No,3,57.0,266.0,25846.0,19845.0,15,1,1,1,4,4,3
27,1294,No,female,36,1987,single,4,Life Sciences,non travel,3,no,full time,2,9,18,16,5,12,sin asignar,2,manufacturing director,Yes,3,53.0,429.0,2323.0,4859.0,11,0,3,3,2,4,3
28,0,No,male,33,1990,married,4,Life Sciences,travel rarely,45,yes,full time,3,1,15,15,5,7,sin asignar,2,laboratory technician,No,3,79.0,589.0,22949.0,4859.0,12,1,3,2,3,2,3
29,1774,No,male,34,1989,ns/nc,3,Life Sciences,non travel,16,yes,full time,3,1,15,15,0,7,sales,2,sales executive,Yes,3,87.0,0.0,12313.0,4001.0,14,1,3,4,3,3,3
30,1815,No,female,41,1982,divorced,1,ns/nc,non travel,59,yes,full time,3,0,11,22,13,5,sales,3,sales executive,No,3,81.0,0.0,26458.0,10447.0,13,1,3,3,3,4,4
31,1993,No,male,47,1976,ns/nc,3,Medical,non travel,40,yes,full time,3,2,25,17,12,11,research & development,3,healthcare representative,No,4,84.0,1180.0,13084.0,4859.0,23,0,3,1,3,2,3
32,32,No,female,53,1970,ns/nc,3,ns/nc,travel rarely,8,yes,full time,3,4,26,14,4,8,sin asignar,5,manager,No,3,58.0,1282.0,10735.0,4859.0,11,1,3,3,3,4,2
33,100,No,male,35,1988,single,4,Marketing,non travel,1,no,part time,2,0,16,15,2,8,sin asignar,2,sales executive,No,3,32.0,776.0,23016.0,4859.0,14,0,2,3,1,2,3
34,0,No,female,34,1989,single,4,Other,travel rarely,9,yes,full time,3,1,16,16,2,10,sin asignar,2,research scientist,No,3,41.0,665.0,12482.0,4859.0,14,0,3,1,3,3,3
35,244,No,female,46,1977,divorced,2,ns/nc,travel rarely,1,yes,full time,2,1,24,24,15,7,sin asignar,3,sales executive,No,4,92.0,526.0,2137.0,4859.0,25,3,3,2,1,3,3
36,327,No,female,43,1980,married,3,ns/nc,non travel,25,yes,full time,3,5,22,17,1,9,sin asignar,4,manager,No,4,80.0,1034.0,7744.0,16064.0,22,1,3,4,4,3,3
37,373,No,male,36,1987,married,3,Life Sciences,non travel,9,yes,full time,4,0,16,15,10,11,research & development,1,laboratory technician,No,3,47.0,1403.0,20251.0,3210.0,11,1,3,4,4,3,3
38,0,No,female,60,1963,married,3,ns/nc,travel frequently,45,yes,full time,5,4,22,18,13,11,sin asignar,3,sales executive,No,3,80.0,1499.0,2845.0,10266.0,19,0,2,3,1,4,4
39,729,No,male,40,1983,married,4,ns/nc,travel frequently,8,no,part time,2,5,20,18,1,12,sin asignar,3,sales executive,Yes,4,48.0,580.0,23772.0,10475.0,21,1,2,4,1,3,3
40,830,No,female,32,1991,married,3,ns/nc,travel rarely,6,no,part time,3,1,14,14,6,8,sin asignar,2,manufacturing director,No,3,98.0,859.0,19124.0,6162.0,12,1,2,3,3,3,3
41,0,No,male,41,1982,single,3,ns/nc,travel rarely,56,yes,full time,3,2,20,18,2,17,sin asignar,1,laboratory technician,Yes,3,59.0,263.0,3119.0,4721.0,13,0,3,3,1,3,3
42,981,No,male,53,1970,divorced,2,Medical,non travel,3,no,full time,3,6,22,17,15,2,sin asignar,4,manager,No,3,0.0,1376.0,13938.0,4859.0,13,1,3,3,3,3,4
43,1042,Yes,female,36,1987,single,4,ns/nc,travel rarely,25,yes,part time,1,1,18,17,15,14,sin asignar,1,laboratory technician,No,3,43.0,885.0,8269.0,4859.0,16,0,4,3,1,3,3
44,1080,No,female,46,1977,divorced,4,Life Sciences,non travel,12,no,full time,2,8,11,16,1,7,sin asignar,2,research scientist,Yes,4,74.0,1003.0,21029.0,4615.0,23,3,2,4,1,1,3
45,1995,No,male,38,1985,married,4,ns/nc,travel rarely,1,yes,full time,3,0,16,15,5,8,sin asignar,2,sales executive,No,3,86.0,1321.0,7636.0,4859.0,15,2,3,4,2,1,3
46,145,No,female,51,1972,single,4,ns/nc,non travel,1,yes,full time,1,3,23,13,12,8,sin asignar,3,healthcare representative,No,4,30.0,0.0,25796.0,4859.0,20,0,2,1,1,3,2
47,158,No,male,43,1980,married,2,ns/nc,non travel,41,yes,part time,3,1,25,25,4,12,sin asignar,4,manager,Yes,3,92.0,394.0,19494.0,16959.0,12,2,3,3,4,4,4
