,numero_empleado,desvinculado,genero,edad,año_nacimiento,estado_civil,nivel_estudios,campo_estudios,frecuencia_viaje,distancia_domicilio,teletrabajo,tipo_jornada,formaciones_ultimo_año,trabajos_anteriores,años_en_activo,antigüedad_empresa,años_ultimo_ascenso,años_mismo_responsable,años_puesto_actual,departamento,rol_y_departamento,categoria,puesto,horas_extras,evaluacion_desempeño,tarifa_hora,tarifa_diaria,tarifa_mensual,ingreso_mensual,%_incremento_salarial,recibe_mismo_salario,acceso_acciones_empresa,nivel_compromiso,nivel_satisfaccion_global,nivel_satisfaccion_trabajo,nivel_ satisfaccion_relaciones,nivel_satisfaccion_conciliacion
0,"162,0",No,0,51,1972,,3,,,9.66,Yes,,5,7,,20,15,15,,,,5,research director,No,"3,0",51.0,684.0,6462,19537.0,13,19537.0,0,3,1,3,3,"3,0"
1,"259,0",No,0,52,1971,,4,Life Sciences,,1.61,1,,5,0,"34,0",33,11,9,,,,5,manager,,"3,0",65.0,699.0,5678,19999.0,14,19999.0,1,2,3,3,1,"3,0"
2,"319,0",No,0,42,1981,Married,2,Technical Degree,travel_rarely,6.44,1,,3,1,"22,0",22,11,15,,research & development,manager  -  research & development,5,manager,No,"3,0",58.0,532.0,4933,19232.0,11,19232.0,0,3,3,4,4,
3,,No,1,47,1976,Married,4,Medical,travel_rarely,3.22,False,,2,3,,20,5,6,,,,4,research director,,"3,0",82.0,359.0,26703,17169.0,19,17169.0,2,3,1,3,2,
4,,No,1,46,1977,Divorced,3,Technical Degree,,4.83,0,,5,2,,19,2,8,,,,4,sales executive,No,"3,0",45.0,1319.0,7739,,12,,1,4,1,1,4,"3,0"
5,"1900,0",No,1,48,1975,,3,Medical,,35.41,Yes,,3,3,,22,4,7,,research & development,manager  -  research & development,4,manager,No,"3,0",58.0,117.0,2437,17174.0,11,17174.0,1,3,4,4,2,"3,0"
6,"81,0",No,1,59,1964,,3,Life Sciences,,40.23,True,,3,7,"28,0",21,7,9,,,,3,sales executive,,"3,0",99.0,1435.0,2354,,11,,0,3,1,1,4,"2,0"
7,"387,0",No,0,42,1981,Married,1,,travel_rarely,1.61,0,,3,1,"20,0",20,11,6,,,,2,sales executive,No,"4,0",99.0,635.0,24532,,25,,0,3,2,3,3,"3,0"
8,,No,1,41,1982,Married,5,,,3.22,True,,2,7,"22,0",18,11,8,,,,4,manager,No,"3,0",91.0,1276.0,5626,16595.0,16,16595.0,1,3,2,1,2,"3,0"
9,"999,0",No,0,41,1982,,3,,travel_frequently,14.48,0,,2,2,"21,0",18,0,11,,,,5,research director,No,"3,0",64.0,840.0,3735,,17,,1,3,1,3,2,"4,0"
10,"1035,0",No,1,41,1982,,1,,non-travel,11.27,0,,3,1,,21,5,10,,,,5,research director,No,"4,0",55.0,247.0,20284,19973.0,22,19973.0,2,1,2,3,2,"3,0"
11,,No,0,56,1967,Married,3,Life Sciences,travel_rarely,37.01,False,,0,4,"33,0",19,15,9,,,,4,manufacturing director,Yes,,68.0,1369.0,18235,13402.0,12,13402.0,1,3,4,2,1,"3,0"
12,,No,1,38,1985,Married,3,Medical,,16.09,1,,3,3,,18,1,11,,,,3,research director,No,"3,0",99.0,201.0,3376,13206.0,12,13206.0,1,1,2,3,1,"3,0"
13,"58,0",Yes,1,41,1982,Married,3,,travel_rarely,19.31,False,,0,1,,22,15,8,,,,5,research director,No,"3,0",49.0,1360.0,16280,19545.0,12,19545.0,0,3,2,3,4,"3,0"
14,,No,0,55,1968,Single,4,Medical,,22.53,True,,3,8,,24,2,15,,,,5,research director,No,"3,0",61.0,692.0,13339,,11,,0,4,3,2,4,"3,0"
15,"558,0",No,1,40,1983,,4,,travel_rarely,3.22,0,,2,0,,20,1,12,,,,5,manager,No,"3,0",79.0,1398.0,13022,18041.0,14,18041.0,0,3,3,3,4,"3,0"
16,"825,0",Yes,0,58,1965,Single,4,,travel_rarely,3.22,0,,2,7,"40,0",31,13,8,,,,5,research director,Yes,"3,0",31.0,286.0,25761,19246.0,12,19246.0,0,3,4,2,4,"3,0"
17,,No,1,46,1977,,3,,travel_rarely,3.22,False,,2,8,"28,0",26,15,9,,,,4,manager,,"4,0",69.0,1402.0,24097,,23,,0,3,3,1,1,"3,0"
18,,No,0,35,1988,Married,5,Life Sciences,,20.92,False,,2,1,,16,1,10,,,,2,research scientist,,"3,0",48.0,819.0,26312,,11,,0,4,2,1,4,"3,0"
19,,No,1,40,1983,,3,Life Sciences,travel_rarely,24.14,True,,2,1,"18,0",18,14,12,,,,3,manufacturing director,,"3,0",80.0,884.0,25800,,13,,2,2,1,3,4,
20,"1712,0",No,0,45,1978,,1,,non-travel,1.61,False,,3,3,"25,0",23,14,4,,research & development,healthcare representative  -  research & development,3,healthcare representative,,"4,0",74.0,1238.0,3395,10748.0,23,10748.0,1,2,3,3,4,"2,0"
21,"73,0",No,1,33,1990,Single,2,Life Sciences,,1.61,True,,1,1,"15,0",15,8,12,,,,3,research director,Yes,"3,0",98.0,515.0,15146,,12,,0,3,1,4,3,"3,0"
22,,No,1,36,1987,Divorced,3,,,12.87,1,,2,1,"17,0",17,12,8,,,,3,healthcare representative,,,59.0,1223.0,8202,,13,,3,3,3,3,2,"3,0"
